participant_id,condition,scene_code,transition,probability
P04,RAW,TL,C->L,0.35438054009482578
P04,RAW,TL,C->R,0.015873015873015872
P04,RAW,TL,L->C,0.23503401360544215
P04,RAW,TL,L->L,0.75068027210884358
P04,RAW,TL,L->R,0.014285714285714287
P04,RAW,TL,R->C,0.35714285714285715
P04,RAW,TL,R->L,0.071428571428571425
P04,RAW,TL,R->R,0
P04,HUD,TR,C->C,0.78518518518518521
P04,HUD,TR,C->L,0
P04,HUD,TR,C->R,0.21481481481481479
P04,HUD,TR,L->C,0
P04,HUD,TR,L->L,0
P04,HUD,TR,L->R,0
P04,HUD,TR,R->C,0.23035714285714282
P04,HUD,TR,R->L,0
P04,HUD,TR,R->R,0.76964285714285718
P04,RAW,TR,C->C,0.61111111111111105
P04,RAW,TR,C->L,0.041666666666666664
P04,RAW,TR,C->R,0.18055555555555555
P04,RAW,TR,L->C,0.16666666666666666
P04,RAW,TR,L->L,0
P04,RAW,TR,L->R,0
P04,RAW,TR,R->C,0.15396825396825395
P04,RAW,TR,R->L,0
P04,RAW,TR,R->R,0.84603174603174602
P05,HUD,LL,C->C,0.95643939393939392
P05,HUD,LL,C->L,0.04356060606060605
P05,HUD,LL,C->R,0
P05,HUD,LL,L->C,0.5
P05,HUD,LL,L->L,0
P05,HUD,LL,L->R,0
P05,HUD,LL,R->C,0
P05,HUD,LL,R->L,0
P05,HUD,LL,R->R,0
P05,RAW,LL,C->C,0.98214285714285721
P05,RAW,LL,C->L,0.017857142857142849
P05,RAW,LL,C->R,0
P05,RAW,LL,L->C,0.16666666666666666
P05,RAW,LL,L->L,0.083333333333333329
P05,RAW,LL,L->R,0
P05,RAW,LL,R->C,0
P05,RAW,LL,R->L,0
P05,RAW,LL,R->R,0
P05,HUD,LR,C->C,0.96875
P05,HUD,LR,C->L,0
P05,HUD,LR,C->R,0.03125
P05,HUD,LR,L->C,0
P05,HUD,LR,L->L,0
P05,HUD,LR,L->R,0
P05,HUD,LR,R->C,0.33333333333333331
P05,HUD,LR,R->L,0
P05,HUD,LR,R->R,0
P05,RAW,LR,C->C,0.9784722222222223
P05,RAW,LR,C->L,0.011111111111111099
P05,RAW,LR,C->R,0.010416666666666666
P05,RAW,LR,L->C,0.16666666666666666
P05,RAW,LR,L->L,0
P05,RAW,LR,L->R,0
P05,RAW,LR,R->C,0.3666666666666667
P05,RAW,LR,R->L,0
P05,RAW,LR,R->R,0.13333333333333333
P05,HUD,PLL,C->C,0.75303030303030305
P05,HUD,PLL,C->L,0.24696969696969695
P05,HUD,PLL,C->R,0
P05,HUD,PLL,L->C,0.9375
P05,HUD,PLL,L->L,0.0625
P05,HUD,PLL,L->R,0
P05,HUD,PLL,R->C,0
P05,HUD,PLL,R->L,0
P05,HUD,PLL,R->R,0
P05,RAW,PLL,C->C,0.89602272727272725
P05,RAW,PLL,C->L,0.10397727272727272
